date,property,value
1673535824,chatbot_opened_conversations__data_insights_weight,1
1679695742,chatbot_opened_conversations__data_insights_weight,1
1688332809,chatbot_opened_conversations__data_insights_weight,1
1692227635,chatbot_opened_conversations__data_insights_weight,1
1688332809,chatbot_opened_conversations__data_insights_weight_decreasing,1
1673535824,chatbot_opened_conversations__data_insights_weight_increasing,1
1692227635,chatbot_opened_conversations__data_insights_weight_stable,1
1679695742,chatbot_opened_conversations__data_insights_weight_stable_fatmass_increasing,1
1688332814,chatbot_read_conversations__data_insights_weight,1
1688332814,chatbot_read_conversations__data_insights_weight_decreasing,1
